"Date","Chrome","IE","Safari","Firefox","Android","Edge Legacy","Edge","Opera","Samsung Internet","BlackBerry","360 Safe Browser","Silk","UC Browser","IEMobile","Sony PS3","Mozilla","Nokia","AOL","Maxthon","Chromium","Sony PS4","NetFront","Puffin","Phantom","SeaMonkey","QQ Browser","Sony PSP","Unknown","Pale Moon","Openwave","Kindle","Yandex Browser","Nintendo 3DS","Coc Coc","TheWorld","Tencent Traveler","Other"
2016-06,44.43,11.84,26.73,7.99,1.92,2.73,0,0.52,2.37,0.06,0.18,0.04,0.2,0.27,0.02,0.04,0,0,0.05,0.05,0.12,0,0.06,0.11,0.02,0.02,0,0.02,0.03,0,0.02,0.02,0.01,0.03,0.01,0.01,0.1
2016-07,44.08,9.37,28.56,8.04,2.04,3,0,0.66,2.67,0.06,0.18,0.04,0.2,0.26,0.02,0.03,0,0,0.05,0.06,0.11,0,0.05,0.1,0.01,0.02,0,0.02,0.03,0,0.02,0.03,0.01,0.16,0.01,0.01,0.09
2016-08,42.61,10.62,28.33,8.37,1.87,3.07,0,0.65,2.69,0.06,0.23,0.03,0.27,0.23,0.02,0.04,0,0,0.05,0.06,0.12,0,0.06,0.1,0.02,0.02,0,0.02,0.03,0,0.02,0.04,0.01,0.23,0.01,0.01,0.09
2016-09,43.45,10.81,26.95,8.21,1.67,2.85,0,0.75,2.54,0.05,0.27,0.03,1.14,0.21,0.02,0.04,0,0,0.05,0.06,0.17,0,0.13,0.06,0.02,0.02,0,0.02,0.04,0,0.01,0.05,0.01,0.24,0.01,0.01,0.1
2016-10,44.27,9.09,29.88,7.54,1.67,3.06,0,0.47,2.47,0.05,0.09,0.03,0.4,0.19,0.02,0.05,0,0,0.04,0.08,0.13,0,0.07,0.04,0.01,0.02,0,0.03,0.03,0,0.01,0.03,0.01,0.12,0,0,0.07
2016-11,44.85,8.2,30.62,7.26,1.62,3.11,0,0.46,2.44,0.05,0.07,0.03,0.33,0.18,0.02,0.07,0,0,0.04,0.08,0.12,0,0.07,0.05,0.01,0.01,0,0.03,0.03,0,0.02,0.02,0.01,0.11,0,0,0.07
2016-12,44.14,8.61,30.9,7.17,1.63,3.21,0,0.48,2.4,0.05,0.1,0.03,0.3,0.16,0.02,0.04,0,0,0.04,0.11,0.12,0,0.07,0.04,0.01,0.02,0,0.03,0.03,0,0.02,0.03,0.01,0.14,0,0,0.08
2017-01,43.07,10.07,30.88,6.94,1.6,3.29,0,0.43,2.34,0.05,0.11,0.02,0.29,0.14,0.02,0.04,0,0,0.03,0.11,0.11,0,0.07,0.05,0.01,0.02,0,0.03,0.03,0,0.02,0.03,0.01,0.11,0,0,0.07
2017-02,44.71,8.12,31.36,6.76,1.58,3.42,0,0.4,2.34,0.04,0.1,0.02,0.3,0.13,0.02,0.03,0,0,0.04,0.09,0.12,0,0.06,0.05,0.01,0.02,0,0.03,0.03,0,0.01,0.03,0.01,0.08,0,0,0.07
2017-03,45.09,7.47,32.03,6.52,1.59,3.29,0,0.44,2.32,0.04,0.06,0.02,0.32,0.13,0.02,0.03,0,0,0.03,0.07,0.11,0,0.05,0.07,0.02,0.02,0,0.03,0.03,0,0.02,0.03,0.01,0.08,0,0,0.06
